type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,710652,原相中信03購01,TW20Z7106525,2020/04/21,上櫃,,RWSCCE
上櫃認購(售)權證,710950,譜瑞中信03購01,TW20Z7109503,2020/05/07,上櫃,,RWSCCE
上櫃認購(售)權證,710951,譜瑞中信05購01,TW20Z7109511,2020/05/07,上櫃,,RWSCCE
上櫃認購(售)權證,711056,碩禾中信03購01,TW20Z7110568,2020/05/12,上櫃,,RWSCCE
上櫃認購(售)權證,711444,鈊象凱基03購01,TW20Z7114446,2020/05/28,上櫃,,RWSCCA
上櫃認購(售)權證,711479,大學光統一03購01,TW20Z7114792,2020/05/29,上櫃,,RWSCCA
上櫃認購(售)權證,711495,信驊元富03購01,TW20Z7114958,2020/05/29,上櫃,,RWSCCA
上櫃認購(售)權證,711496,原相元富03購01,TW20Z7114966,2020/05/29,上櫃,,RWSCCA
上櫃認購(售)權證,711497,網家元富03購01,TW20Z7114974,2020/05/29,上櫃,,RWSCCA
上櫃認購(售)權證,711573,譜瑞中信06購01,TW20Z7115732,2020/06/02,上櫃,,RWSCCE
上櫃認購(售)權證,711579,原相元富03購02,TW20Z7115799,2020/06/02,上櫃,,RWSCCA
上櫃認購(售)權證,711580,智擎元富03購01,TW20Z7115807,2020/06/02,上櫃,,RWSCCA
上櫃認購(售)權證,711654,元太中信06購01,TW20Z7116540,2020/06/05,上櫃,,RWSCCE
上櫃認購(售)權證,711669,碩禾元富03購01,TW20Z7116698,2020/06/05,上櫃,,RWSCCA
上櫃認購(售)權證,711701,元太統一03購01,TW20Z7117019,2020/06/08,上櫃,,RWSCCA
上櫃認購(售)權證,711736,環球晶中信03購01,TW20Z7117365,2020/06/09,上櫃,,RWSCCE
上櫃認購(售)權證,711762,邦特元富03購01,TW20Z7117621,2020/06/09,上櫃,,RWSCCA
上櫃認購(售)權證,711860,頎邦凱基03購01,TW20Z7118603,2020/06/11,上櫃,,RWSCCA
上櫃認購(售)權證,711863,雍智國泰03購01,TW20Z7118637,2020/06/12,上櫃,,RWSCCA
上櫃認購(售)權證,711864,中美晶中信06購01,TW20Z7118645,2020/06/12,上櫃,,RWSCCE
上櫃認購(售)權證,711865,中美晶中信06購02,TW20Z7118652,2020/06/12,上櫃,,RWSCCE
上櫃認購(售)權證,711866,穩懋中信06購01,TW20Z7118660,2020/06/12,上櫃,,RWSCCE
上櫃認購(售)權證,711867,穩懋中信06購02,TW20Z7118678,2020/06/12,上櫃,,RWSCCE
上櫃認購(售)權證,711909,鈊象元富06購01,TW20Z7119098,2020/06/12,上櫃,,RWSCCA
上櫃認購(售)權證,711932,神盾中信03購01,TW20Z7119320,2020/06/15,上櫃,,RWSCCE
上櫃認購(售)權證,711957,原相富邦03購01,TW20Z7119577,2020/06/15,上櫃,,RWSCCA
上櫃認購(售)權證,711967,M31元富03購01,TW20Z7119676,2020/06/15,上櫃,,RWSCCA
上櫃認購(售)權證,711970,精測元富03購01,TW20Z7119700,2020/06/15,上櫃,,RWSCCA
上櫃認購(售)權證,712007,信驊元富03購02,TW20Z7120070,2020/06/16,上櫃,,RWSCCA
上櫃認購(售)權證,712071,穩懋凱基03購01,TW20Z7120716,2020/06/18,上櫃,,RWSCCA
上櫃認購(售)權證,712194,倉和統一03購01,TW20Z7121946,2020/06/23,上櫃,,RWSCCA
上櫃認購(售)權證,712195,倉和統一04購01,TW20Z7121953,2020/06/24,上櫃,,RWSCCA
上櫃認購(售)權證,712225,穩懋富邦03購01,TW20Z7122258,2020/06/24,上櫃,,RWSCCA
上櫃認購(售)權證,712230,鈊象凱基04購01,TW20Z7122308,2020/06/24,上櫃,,RWSCCA
上櫃認購(售)權證,712246,穩懋中信04購01,TW20Z7122464,2020/06/29,上櫃,,RWSCCE
上櫃認購(售)權證,712250,鈊象國泰03購01,TW20Z7122506,2020/06/29,上櫃,,RWSCCA
上櫃認購(售)權證,712251,鈊象國泰03購02,TW20Z7122514,2020/06/29,上櫃,,RWSCCA
上櫃認購(售)權證,712260,鈊象凱基03購02,TW20Z7122605,2020/06/29,上櫃,,RWSCCA
上櫃認購(售)權證,712261,鈊象凱基04購02,TW20Z7122613,2020/06/29,上櫃,,RWSCCA
上櫃認購(售)權證,712262,威剛統一03購01,TW20Z7122621,2020/06/29,上櫃,,RWSCCA
上櫃認購(售)權證,712276,精測群益03購01,TW20Z7122761,2020/06/29,上櫃,,RWSCCA
上櫃認購(售)權證,712282,智擎國泰03購01,TW20Z7122829,2020/06/30,上櫃,,RWSCCA
上櫃認購(售)權證,712294,譜瑞中信06購03,TW20Z7122944,2020/06/30,上櫃,,RWSCCE
上櫃認購(售)權證,712304,博智元富03購01,TW20Z7123041,2020/06/30,上櫃,,RWSCCA
上櫃認購(售)權證,712305,精測元富03購02,TW20Z7123058,2020/06/30,上櫃,,RWSCCA
